code,price,sma50,sma150,sma200,high52w,low52w,sma200_20d_ago,rs_percentile,ret_3m,ret_6m,ret_9m,ret_12m,tt_1,tt_2,tt_3,tt_4,tt_5,tt_6,tt_7,tt_8,tt_all_pass,non_cut_years,non_cut_years_verified,non_cut_years_required,coverage_years,div_source_used,needs_manual_dividend_check,cfo_pos_5y_ratio,fcf_pos_5y_ratio,fcf_payout_3y,fcf_payout_hard_fail,fcf_latest,div_paid_latest,total_div_fwd,total_div_actual,dps_fwd,bps_latest,eps_fwd,net_shares_latest,fiscal_month,metrics_coverage,data_quality_flags,Sector33CodeName,Sector17CodeName,Name,dividend_yield_fwd,dividend_yield_fwd_total,yield_split_mismatch,high_yield_risk,per_fwd,pbr,fcf_yield,per_sector_rank,value_pass,is_financial,core_pass,core_fin_pass,core_candidate,core_momo_pass,trend_score,core_drop_reasons,satellite_pass,eps_growth_yoy,eps_accel,eps_score,satellite_drop_reasons,breakout_20d,breakout_55d,first_pullback,in_holdings,composite_score,drop_reason,yield_used,manual_check_reason,core_buyable_now,satellite_buyable_now,dividend_yield_total_actual,yield_basis,dividend_yield_total_fwd,effective_yield,drop_reason_core,drop_reason_satellite,info_flags,needs_manual_history_check
34440,1149.0,808.44,619.14,547.83,1149.0,256.0,499.29,98.93238434163702,0.1387512388503469,2.4298507462686567,2.613207547169812,3.767634854771784,True,True,True,True,True,True,True,True,True,8.0,True,5,10,yf,False,0.0,0.5,0.7058823529411765,True,,,,,,,7.45,,4.0,1.0,shares_missing; div_split_adjusted,金属製品,建設・資材,菊池製作所,,,False,False,154.2281879194631,,,0.9642857142857144,False,False,False,False,False,False,6,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,False,0.9003290110315464,True,7,yield_unknown,True,True,False,False,79.46619217081852,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; yield_unknown,none,,False,False,,none,,,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,yield_unknown,,False
31030,3085.0,1456.32,669.5,549.815,3085.0,132.0,416.44,99.57942413458429,6.731829573934837,14.122549019607844,16.832369942196532,23.291338582677167,True,True,True,True,True,True,True,True,True,,False,5,4,yf,True,1.0,1.0,0.0,False,3147000000.0,0.0,0.0,0.0,0.0,-123.42,-421.18,57654517.0,3.0,1.0,div_split_adjusted; div_history_short,繊維製品,素材・化学,ユニチカ,0.0,0.0,False,False,,,0.017693275354862,,False,False,False,False,False,False,6,data_missing:div_history; E_div_yield; F_value_pass,False,0.6456563763107023,True,7,yield_below_2pct,True,True,False,False,77.28971206729214,data_missing:div_history; E_div_yield; F_value_pass; yield_below_2pct,total,yield_total_fallback_dps,False,False,0.0,dps_fallback,0.0,0.0,data_missing:div_history; E_div_yield; F_value_pass,yield_below_2pct,,True
35260,9055897600.0,181121985.9,60376595.21333333,45283130.55,9055897600.0,2428.0,3515.48,99.77353607246846,2198032.3980582524,2192710.283292978,3410883.218455744,,True,True,True,True,True,True,True,True,True,10.0,True,5,10,yf,True,1.0,1.0,0.2163426925845932,False,3108000000.0,602000000.0,602095500.0,602000000.0,100.0,4138.66,458.52,6020955.0,3.0,1.0,div_split_adjusted,輸送用機器,自動車・輸送機,芦森工業,1.1042527689359033e-08,1.104077620409742e-08,False,False,19750278.286661435,2188123.1123117143,5.700121668161924e-08,1.0,False,False,False,False,False,False,6,E_div_yield; F_value_pass,False,1.9163938004802443,True,7,yield_below_2pct,False,False,False,False,75.88676803623423,E_div_yield; F_value_pass; yield_below_2pct,total,yield_total_fallback_dps,False,False,1.104077620409742e-08,dps_fallback,1.1042527689359033e-08,1.1042527689359033e-08,E_div_yield; F_value_pass,yield_below_2pct,,False
76350,678447232.0,13570608.28,4524471.78,3393652.02,678447232.0,1125.0,1371.675,99.67648010352636,397682.01992966,532114.4760784314,556559.4856439704,526335.0993017843,True,True,True,True,True,True,True,True,True,10.0,True,5,10,yf,True,1.0,1.0,0.1431541431541431,False,2814000000.0,214000000.0,214602760.0,214000000.0,40.0,2169.44,96.41,5365069.0,3.0,1.0,div_split_adjusted,卸売業,商社・卸売,杉田エース,5.8958159328152434e-08,5.879256210975395e-08,False,False,7037104.366766933,312729.1983184601,7.730947185834e-07,1.0,False,False,False,False,False,False,6,E_div_yield; F_value_pass,False,0.8272778088317496,True,7,yield_below_2pct,False,False,False,False,75.83824005176318,E_div_yield; F_value_pass; yield_below_2pct,total,yield_total_fallback_dps,False,False,5.879256210975395e-08,dps_fallback,5.8958159328152434e-08,5.8958159328152434e-08,E_div_yield; F_value_pass,yield_below_2pct,,False
66290,1070.0,968.1345068359376,796.6216857910156,695.3262643432618,1268.4945068359375,323.0,640.8231872558594,97.0883209317373,-0.1480891719745223,1.511737089201878,1.715736040609137,2.566666666666667,True,True,True,True,True,True,True,True,True,2.0,True,5,10,yf,True,1.0,0.3333333333333333,,True,-105000000.0,161000000.0,161723976.0,161000000.0,12.0,762.06,-32.3,13476998.0,3.0,0.75,,電気機器,電機・精密,テクノホライゾン,0.011214953271028,0.0111647482413832,False,False,,1.4040889168831852,-0.0072813575487282,,True,False,False,False,False,False,6,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield,False,2.389545056867892,True,7,yield_below_2pct,True,False,False,False,75.54416046586866,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; data_missing:fcf_payout; yield_below_2pct,total,yield_total_fallback_dps,False,False,0.0111647482413832,dps_fallback,0.011214953271028,0.011214953271028,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; data_missing:fcf_payout,yield_below_2pct,,False
68660,10700.0,7513.8,6560.6,6355.35,10700.0,5280.0,6135.05,95.08249757360078,0.671875,0.6823899371069182,0.9141323792486584,0.8576388888888888,True,True,True,True,True,True,True,True,True,3.0,True,5,10,yf,True,1.0,1.0,0.6060116851168512,False,2795000000.0,2706000000.0,2707749000.0,2706000000.0,200.0,3246.7,403.18,13538745.0,12.0,1.0,,電気機器,電機・精密,日置電機,0.0186915887850467,0.0186795154397015,False,False,26.539014832084924,3.295654048726399,0.0192938823554936,0.6306818181818182,False,False,False,False,False,False,6,A_non_cut_years; E_div_yield; F_value_pass,False,3.658886064247746,True,7,yield_below_2pct,True,True,False,False,75.0412487868004,A_non_cut_years; E_div_yield; F_value_pass; yield_below_2pct,total,yield_total_fallback_dps,False,False,0.0186795154397015,dps_fallback,0.0186915887850467,0.0186915887850467,A_non_cut_years; E_div_yield; F_value_pass,yield_below_2pct,,False
58170,1483.0,1429.3560693359375,946.2818245442708,826.7413684082031,2151.0,387.0,733.0363684082031,98.70592041410546,0.396421845574388,2.051440329218107,2.168803418803418,2.9441489361702127,True,True,True,True,True,True,False,True,False,7.0,True,5,10,yf,False,0.5,0.5,1.216867469879518,True,,,,,,,,,2.0,1.0,shares_missing,非鉄金属,鉄鋼・非鉄,ＪＭＡＣＳ,,,False,False,,,,,False,False,False,False,False,False,6,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,False,0.9756410256410256,True,7,TT_not_all_pass; yield_unknown,False,False,False,False,73.85296020705273,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; TT_not_all_pass; yield_unknown,none,,False,False,,none,,,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass; yield_unknown,info_tt_not_all_pass,False
63760,2657.0,2409.98,1854.1333333333328,1729.595,2840.0,1063.0,1589.89,95.56777741831122,0.4818739542665924,0.7549537648612945,1.0391404451266308,1.5304761904761903,True,True,True,True,True,True,True,True,True,9.0,True,5,10,yf,True,0.6666666666666666,0.6666666666666666,0.5604581673306773,False,-11553000000.0,1987000000.0,1987477200.0,1987000000.0,30.0,2113.07,120.15,66249240.0,12.0,1.0,,精密機器,電機・精密,日機装,0.011290929619872,0.0112882186294694,False,False,22.114024136496045,1.2574122012048818,-0.0656330094747158,0.4848484848484848,True,False,False,False,False,False,6,B_cfo_pos_ratio; E_div_yield,False,0.749130572241543,True,7,yield_below_2pct,False,False,False,False,73.2838887091556,B_cfo_pos_ratio; E_div_yield; yield_below_2pct,total,yield_total_fallback_dps,False,False,0.0112882186294694,dps_fallback,0.011290929619872,0.011290929619872,B_cfo_pos_ratio; E_div_yield,yield_below_2pct,,False
69200,39950.0,34613.3,29448.266666666663,26293.825,42800.0,10490.0,24080.575,96.27952119055324,0.1149874406921573,0.9796828543111992,1.1289634958699706,2.77420878601795,True,True,True,True,True,True,True,True,True,7.0,True,5,10,yf,True,1.0,1.0,0.4792300380228136,False,75454000000.0,29672000000.0,29672627782.0,29672000000.0,329.0,2327.06,938.61,90190358.0,6.0,1.0,div_split_adjusted,電気機器,電機・精密,レーザーテック,0.008235294117647,0.008235119884025,False,False,42.56293881377782,17.167584849552654,0.0209413836522387,0.8238636363636364,False,False,False,False,False,False,6,E_div_yield; F_value_pass,False,1.135312531556094,True,7,yield_below_2pct,False,False,False,False,72.63976059527661,E_div_yield; F_value_pass; yield_below_2pct,total,yield_total_fallback_dps,False,False,0.008235119884025,dps_fallback,0.008235294117647,0.008235294117647,E_div_yield; F_value_pass,yield_below_2pct,,False
40220,1780.0,1744.1692041015624,1327.044805501302,1208.3686041259766,2080.2080078125,476.6,1113.5606927490237,96.24716920090586,0.1994609164420484,0.73828125,1.1813725490196076,2.9661319073083776,True,True,True,True,True,True,True,True,True,0.0,True,5,10,yf,True,1.0,1.0,0.2635930047694753,False,3209000000.0,940000000.0,936886800.0,940000000.0,120.0,3570.64,398.74,7807390.0,3.0,1.0,div_split_adjusted,化学,素材・化学,ラサ工業,0.0674157303370786,0.0676397474239726,False,True,4.4640617946531576,0.498510071023682,0.2309105845569447,0.0545454545454545,True,False,False,False,False,False,6,A_non_cut_years,True,1.1212562732718143,True,7,,False,False,False,False,72.12358460045293,OK,total,high_yield_risk; yield_total_fallback_dps; yf_source_high_yield,False,True,0.0676397474239726,dps_fallback,0.0674157303370786,0.0674157303370786,A_non_cut_years,OK,,False
